id,lat,lon,name
102,-35.450595,149.117269,Louis Loder St at 2nd Conlon Cr
103,-35.43325,149.118429,Clift Cr before Johnson Dr
104,-35.433112,149.11822800000002,Clift Cr after Johnson Dr
105,-35.431157,149.119171,Clift Cr after 2nd Chauncy Cr
106,-35.431117,149.119349,Clift Cr after 1st Fullerton Cr
107,-35.429241,149.12143899999998,Deamer Cr before Meeson St
108,-35.429355,149.12094199999999,Deamer Cr before Clift Cr
109,-35.430849,149.123538,Deamer Cr before 2nd Twamley Cr
110,-35.430915,149.123421,Deamer Cr opp 1st Twamley Cr
111,-35.431494,149.127065,69 Deamer Cr
112,-35.431723999999996,149.126983,Deamer Cr opp 69
113,-35.429424,149.128794,Deamer Cr opp 1st Nina Jones Cr
114,-35.429786,149.128673,Deamer Cr after 2nd Nina Jones Cr
115,-35.427319,149.129802,Deamer Cr after Heagney Cr
116,-35.427189,149.12961299999998,Deamer Cr before Heagney Cr
117,-35.426486,149.130996,Heagney Cr before Deamer Cr
118,-35.426567,149.130245,Heagney Cr opp Deamer Cr
119,-35.424588,149.13321200000001,Heagney Cr before 2nd Couchman Cr
120,-35.424695,149.133027,Heagney Cr before Enid Lorimer Cct
121,-35.423045,149.13492,Heagney Cr before 1st Couchman Cr
122,-35.423025,149.13453,Heagney Cr after Enid Lorimer Cct
123,-35.421378999999995,149.13599399999998,Heagney Cr after 1st Henry Melville Cr
124,-35.420927,149.136018,Heagney Cr after 2nd Emily Bulcock Cr
125,-35.419229,149.136097,Heagney Cr opp Gilmore PS
126,-35.419093,149.135985,Gilmore PS Heagney Cr
127,-35.415211,149.12515,Proctor St opp Maclean St
128,-35.415327000000005,149.125257,Proctor St after MacLean St
129,-35.414421000000004,149.129066,Chisholm Shops Benham St
130,-35.414484,149.129233,Benham St opp Chisholm Shops
131,-35.409005,149.127953,Coyne St before Carson St
132,-35.409158000000005,149.127772,Coyne St opp Carson St
133,-35.409167,149.123106,19 Coyne St
134,-35.409226000000004,149.122726,Coyne St opp 19
135,-35.406964,149.12043300000002,Bugden Av before 2nd Larcombe Cr
136,-35.406757,149.120472,Bugden Av before Coyne St
137,-35.404229,149.122455,Bugden Av before 2nd Demaine Cr
138,-35.404353,149.121963,Bugden Av after Fihelly St
139,-35.402395,149.124135,Bugden Av before 1st Mullan St
140,-35.401345,149.12354299999998,Bugden Av opp 2nd Mullan St
141,-35.398518,149.122122,Bugden Av after 2nd Mullan St
142,-35.398528999999996,149.122194,Bugden Av opp 309
143,-35.400242,149.115685,Bugden Av after 1st Dash Cr
144,-35.401436,149.114272,Bugden Av after Partridge St
145,-35.40132,149.112769,Bugden Av opp 2nd Maughan Cr
146,-35.401832,149.110301,Bugden Av before 2nd Maughan Cr
147,-35.401740999999994,149.110016,Bugden Av after 1st Appel Cr
148,-35.40265,149.107483,Bugden Av after Sternberg Cr
149,-35.402691,149.10755600000002,Bugden Av before Sternberg Cr
150,-35.39954,149.115823,Bugden Av before 2nd Appel Cr
151,-35.402260999999996,149.103288,Sternberg Cr after Erindale Dr
152,-35.401941,149.100575,Sternberg Cr after Ashley Dr
153,-35.403649,149.099162,Erindale Interchange Plt 1
154,-35.403801,149.09937299999999,Erindale Interchange Plt 2
155,-35.401992,149.102749,Sternberg Cr before Maltby Cct
156,-35.403907000000004,149.095995,Erindale College McBryde Cr
157,-35.404013,149.095842,McBryde Cr opp Erindale College
158,-35.405553999999995,149.093547,Amsinck St after McBryde Cr
159,-35.405601000000004,149.093296,Amsinck St before McBryde Cr
160,-35.406139,149.09058100000001,MacKillop College McBryde Cr
161,-35.406264,149.090564,McBryde Cr opp MacKillop College
162,-35.441863,149.086183,Woodcock Dr before Clare Dennis Av
163,-35.441691999999996,149.086154,Woodcock Dr opp Clare Dennis Av
164,-35.443044,149.085974,Clare Dennis Av before Armbruster St
165,-35.445159000000004,149.0878,Clare Dennis Av before 1st Fred Ln Cr
166,-35.446768,149.086077,Clare Dennis Av before 2nd Fred Ln Cr
167,-35.447089,149.08383999999998,Clare Dennis Av before Preddey Way
168,-35.448402,149.086122,Lewis Luxton Av after Preddy Way
169,-35.450435999999996,149.08909,Lewis Luxton Av opp Blinkhorn Pl
170,-35.452903000000006,149.08796999999998,Lewis Luxton Av opp 2nd Cerutty Cr
171,-35.458121000000006,149.086118,Knoke Av opp Gordon PS
172,-35.460578000000005,149.08565900000002,Knoke Av before Oxenham Cct
173,-35.462281,149.083208,Knoke Av after Jim Pike Av
174,-35.462016,149.079911,Jim Pike Av before Clem Hill St
175,-35.459068,149.080047,Callaway Cr at 1st Myles Connell Cr
176,-35.460035999999995,149.081737,39 Callaway Cr
177,-35.398638,149.117563,Bugden Av after 2nd Chataway Cr
178,-35.398045,149.118252,Bugden Av opp 1st Chataway Cr
179,-35.464786,149.08418799999998,Knoke Av after Clem Hill St
180,-35.467259000000006,149.087641,Knoke Av after 2nd Harry Hopman Cct
181,-35.472807,149.089281,Knoke Av after 1st Harry Hopman Cct
182,-35.474078000000006,149.093168,Pockett Av after Bellchambers Cr
183,-35.471702,149.096924,Pockett Av after Wilson Cr
184,-35.469475,149.097634,Pockett Av after 2nd Ironbark Cr
185,-35.467558000000004,149.09536200000002,Pockett Av after Perrin Cct
186,-35.46528,149.094099,Pockett Av before Thomas Hart St
187,-35.463823,149.096494,Tom Roberts Av before Box Hill Av
188,-35.465324,149.098411,Tom Roberts Av opp Charles Conder PS
189,-35.466303,149.10560700000002,Tom Roberts Av before Jane Sutherland St
190,-35.462228,149.10519299999999,Tom Roberts Av before 1st Templestowe Av
191,-35.461222,149.10220800000002,Tom Roberts Av opp John Russell Cct
192,-35.460419,149.099253,Tom Roberts Av after Box Hill Av
193,-35.466403,149.10041999999999,Tom Roberts Av after 1st Beaumaris St
194,-35.456171000000005,149.09249499999999,Box Hill Av opp Lanyon Marketplace
195,-35.457716,149.097362,Box Hill Av opp St Clare of Assisi PS
196,-35.456354,149.09246299999998,Lanyon Marketplace Box Hill Av
197,-35.457981,149.097464,St Clare of Assisi PS Box Hill Av
198,-35.46047,149.09901499999998,Tom Roberts Av before Box Hill Av
199,-35.461296999999995,149.10181,Tom Roberts Av before Altson Cct
200,-35.462199,149.104985,Tom Roberts Av before Lethbridge St
201,-35.464853999999995,149.097978,Charles Conder PS Tom Roberts Av
202,-35.464987,149.093953,Pockett Av before Box Hill Av
203,-35.46759,149.095269,Pockett Av before 2nd Tregellas Cr
204,-35.470394,149.097662,Pockett Av opp Wiburd St
205,-35.472431,149.095951,Banks Shops Pockett Av
206,-35.473496999999995,149.091731,Pockett Av before Brockway Cct
207,-35.472849,149.08945400000002,Knoke Av after Coventry Cl
208,-35.470765,149.088898,Knoke Av after Minnett Cl
209,-35.470876000000004,149.088786,Knoke Av opp O'Hara Cl
210,-35.467176,149.087682,Knoke Av before 2nd Mina Wylie Cr
211,-35.46567,149.085585,Knoke Av before Matson St
212,-35.461984,149.08364699999998,Knoke Av opp Jim Pike Av
213,-35.460663000000004,149.085728,Knoke Av after Midge St
214,-35.452995,149.087346,Lewis Luxton Av before 1st Cerutty Cr
215,-35.450896,149.089342,Lewis Luxton Av before Blinkhorn Pl
216,-35.448733000000004,149.087143,61 Lewis Luxton Av
217,-35.448164,149.084205,Preddy Way at Fingleton Cr
218,-35.446543,149.085447,Clare Dennis Av before 2nd Noel Ryan Gdn
219,-35.444641,149.087167,Clare Dennis Av opp Churchill Way
220,-35.44312,149.085845,Clare Dennis Av after Woodfull Lp
221,-35.340841999999995,149.05234099999998,Cooleman Court Terminus
222,-35.34468,149.047096,Streeton Dr before 1st Fremantle Dr
223,-35.344613,149.04703600000002,Streeton Dr before Hindmarsh Dr
224,-35.346407,149.04693600000002,Fremantle Dr after Streeton Dr
225,-35.3466,149.047038,Fremantle Dr before Streeton Dr
226,-35.348284,149.049235,Fremantle Dr before Bunbury St
227,-35.347359999999995,149.048194,Fremantle Dr opp 1st McKail Cr
228,-35.352146000000005,149.053761,Namatjira Dr opp St John Vianney
229,-35.355188,149.050493,Namatjira Dr after Streeton Dr
230,-35.351921999999995,149.05415,St John Vianney Namatjira Dr
231,-35.466561,149.100512,Tom Roberts Av after Wiburd St
232,-35.469931,149.098659,Wiburd St before Pockett Av
233,-35.355115000000005,149.050801,Namatjira Dr after Badimara St
234,-35.35848,149.047931,Namatjira Dr opp Perry Dr
235,-35.360591,149.047806,Namatjira Dr before Kapunda St
236,-35.363484,149.04971899999998,Namatjira Dr opp 204
237,-35.366088,149.051516,241 Namatjira Dr
238,-35.366007,149.051368,Namatjira Dr opp 241
239,-35.358207,149.047876,Namatjira Dr after Perry Dr
240,-35.360443,149.04765700000002,Namatjira Dr before Perry Dr
241,-35.363559,149.049614,204 Namatjira Dr
242,-35.375136,149.048963,Kambah Pool Rd after Sulwood Dr
243,-35.37534,149.04861499999998,Kambah Pool Rd after Barritt St
244,-35.377990999999994,149.048365,Barritt St after Kambah Pool Rd
245,-35.378093,149.048299,Barritt St before Kambah Pool Rd
246,-35.380209,149.05186,Barritt St before Boddington Cr
247,-35.379861,149.051195,Barritt St after Boddington Cr
248,-35.381211,149.05177700000002,Boddington Cr before Barritt St
249,-35.382090999999996,149.051152,Boddington Cr after Carleton St
250,-35.382089,149.05128100000002,Boddington Cr opp Carleton St
251,-35.385031,149.05056399999998,Boddington Cr before 1st Castley Cct
252,-35.385778,149.05041599999998,Boddington Cr after 2nd Crozier Cct
253,-35.389283,149.05164299999998,Boddington Cr after 2nd Castley Cct
254,-35.389192,149.051368,Boddington Cr after Bateman St
255,-35.390043,149.05365600000002,Boddington Cr opp McLeod Pl
256,-35.389199,149.056659,Boddington Cr opp Broad Pl
257,-35.390316,149.053797,Boddington Cr after McLeod Pl
258,-35.389395,149.05715800000002,Boddington Cr before Broad Pl
259,-35.390376,149.05903600000002,O'Halloran Cct opp Boddington Cr
260,-35.390364,149.058859,O'Halloran Cct before Boddington Cr
261,-35.392912,149.058194,O'Halloran Cct after 2nd Springbett St
262,-35.393119,149.058008,O'Halloran Cct before 2nd McKillop Cct
263,-35.395621999999996,149.059255,O'Halloran Cct before 1st Snodgrass Cr
264,-35.395814,149.059279,O'Halloran Cct opp 2nd Snodgrass Cr
265,-35.395790000000005,149.06288600000002,O'Halloran Cct before Vansittart Cr
266,-35.395919,149.062892,O'Halloran Cct after Vansittart Cr
267,-35.394099,149.065924,O'Halloran Cct before Ashby Cct
268,-35.393972,149.065792,O'Halloran Cct opp Ashby Cct
269,-35.393073,149.067676,O'Halloran Cct opp Namadgi School
270,-35.392579,149.068207,Namadgi School O'Halloran Cct
271,-35.391096000000005,149.071581,Summerland Cct after Vanzetti Cr
272,-35.390978999999994,149.071495,Summerland Cct before 1st Kingsmill St
273,-35.390028,149.073554,Summerland Cct before 2nd Kingsmill St
274,-35.390173,149.073483,Summerland Cct after Livingston Av
275,-35.394195,149.08436899999998,Wheeler Cr before Wanniassa HS
276,-35.394895,149.080012,St Anthonys PS Wheeler Cr
277,-35.394279,149.08497,Wheeler Cr after Wanniassa HS
278,-35.394982,149.079947,Wheeler Cr opp St Anthonys PS
279,-35.396159999999995,149.078911,Fincham Cr after Morrissey St
280,-35.3963,149.079126,Fincham Cr after Wheeler Cr
281,-35.398613,149.080301,Fincham Cr before Stutt St
282,-35.398902,149.08051799999998,Fincham Cr after 1st DeGraves Cr
283,-35.401053999999995,149.081262,Forlonge St after Fincham Cr
284,-35.401413,149.080926,Forlonge St before Gair Pl
285,-35.402386,149.09281000000001,Sternberg Cr opp Houston St
286,-35.4012,149.09498200000002,Sternberg Cr opp Whiteman Cr
287,-35.40235,149.09272099999998,Sternberg Cr before Houston St
288,-35.401034,149.095201,Sternberg Cr after Whiteman St
289,-35.401439,149.098251,Sternberg Cr after Langdon Av
290,-35.401696,149.098671,Sternberg Cr after Comrie St
291,-35.377342999999996,149.056195,Drakeford Dr after Boddington Cr
292,-35.377347,149.056592,Drakeford Dr before Marconi Cr
293,-35.378927000000004,149.057634,Marconi Cr opp Kambah Village
294,-35.379135999999995,149.057769,Kambah Village Marconi Cr
295,-35.377833,149.06063600000002,Marconi Cr before 2nd Harrington Cct
296,-35.378267,149.06011,Marconi Cr after Wyselaskie Cct
297,-35.377614,149.064032,Marconi Cr opp Taylor PS
298,-35.377741,149.06406,Taylor PS Marconi Cr
299,-35.378684,149.065348,Marconi Cr after 2nd Lascelles Cct
300,-35.378728,149.06549099999998,Marconi Cr after Inkster St
301,-35.381701,149.065314,Marconi Cr after 1st Lascelles Cct
302,-35.381402,149.065583,Marconi Cr after Hutchison Cr
303,-35.383371999999994,149.06747,Summerland Cct before Hutchison Cr
304,-35.383463,149.067486,Summerland Cct opp Hutchison Cr
305,-35.384914,149.070892,Summerland Cct before Mannheim St
306,-35.385020000000004,149.071134,Summerland Cct before 1st Gallagher St
307,-35.387624,149.075039,Summerland Cct after 2nd Lee-Steere Cr
308,-35.387515,149.074926,Summerland Cct opp 1st Lee-Steere Cr
309,-35.392409,149.089645,Langdon Av after Dyer Pl
310,-35.392319,149.089323,Langdon Av after Macbain St
311,-35.392568,149.093016,Langdon Av before Carr Cr
312,-35.392174,149.09368500000002,Langdon Av before Billson Pl
313,-35.392151,149.095783,Wanniassa Hills PS Langdon Av
314,-35.392879,149.09656,Langdon Av opp Wanniassa Hills PS
315,-35.396342,149.09638700000002,Langdon Av after Gaunson Cr
316,-35.396096,149.09623100000002,Langdon Av after Kirkton St
317,-35.397873,149.09741699999998,Langdon Av before 2nd Brunton St
318,-35.397754,149.09741599999998,Langdon Av before Longmore Cr
319,-35.40037,149.097398,Langdon Av before Embling St
320,-35.400017,149.097735,Langdon Av before Bussau Cl
321,-35.402577,149.074423,Drakeford Dr after Mortimer Lewis Dr
322,-35.401228,149.074572,Drakeford Dr before Taverner St
323,-35.408028,149.07353899999998,Drakeford Dr after Taverner St
324,-35.408348,149.07307600000001,Drakeford Dr after Soward Way
325,-35.418158,149.064405,Athllon Dr before Reed St
326,-35.348742,149.08783,Hindmarsh Dr after Ball St
327,-35.407463,149.075673,Newman-Morris Cct opp 2nd Connibere Cr
328,-35.407218,149.07568999999998,Newman-Morris Cct before 1st Connibere Cr
329,-35.410852,149.075058,Newman-Morris Cct before 1st Singleton Cr
330,-35.410988,149.075168,77 Newman-Morris Cct
331,-35.413455,149.07607099999998,Newman-Morris Cct after 1st Collocott Cr
332,-35.413534999999996,149.076332,Newman-Morris Cct opp 2nd Collocott Cr
333,-35.412838,149.079376,Newman-Morris Cct before 2nd Cuthbertson Cr
334,-35.413294,149.078626,Newman-Morris Cct before 2nd Maconochie Cr
335,-35.41215,149.063186,Lakeside Leisure Centre Anketell St
336,-35.401969,149.060866,Learmonth Dr after Vansittart Cr
337,-35.402084,149.060775,Learmonth Dr opp Vansittart Cr
338,-35.400156,149.062603,Vansittart Cr after 1st Stieglitz Cct
339,-35.400089,149.06246399999998,Vansittart Cr after 1st Ragless Cct
340,-35.403181,149.063357,Learmonth Dr after Athllon Dr
341,-35.403084,149.06351999999998,Learmonth Dr before Athllon Dr
342,-35.397225,149.064054,Vansittart Cr opp Pinkerton Cct
343,-35.397462,149.064247,Vansittart Cr before Pinkerton Cct
344,-35.373045,149.056882,Tuggeranong Pkwy after Sulwood Dr
345,-35.372603999999995,149.057409,Tuggeranong Pkwy before Sulwood Dr
346,-35.410718,149.100686,Clive Steele Av before 2nd Priddle St
347,-35.410892,149.100719,Clive Steele Av opp 1st Priddle St
348,-35.41236,149.100027,Clive Steele Av opp 2nd Brain St
349,-35.412884999999996,149.099366,Clive Steele Av before 2nd Brain St
350,-35.414112,149.09704299999999,Clive Steele Av before 2nd Fraenkel St
351,-35.414441,149.09673999999998,Clive Steele Av before 2nd Coode St
352,-35.417059,149.098237,Monash Shops Cockcroft Av
353,-35.416742,149.098198,Cockcroft Av opp Monash Shops
354,-35.419885,149.097304,Cockcroft Av before Kneeshaw St
355,-35.419751,149.09704299999999,Goodwin Aged Care Cockcroft Av
356,-35.416281,149.079178,Charleston St after 2nd William Hudson Cr
357,-35.416263,149.07936,Charleston St after Blakey Cl
358,-35.418192,149.082438,Charleston St before 1st William Hudson Cr
359,-35.41809,149.082409,Charleston St after Hallstrom Cct
360,-35.416677,149.086218,Clive Steele Av before 1st Balsillie Cr
361,-35.41661,149.086533,Clive Steele Av opp 2nd Balsillie Cr
